Tabelle: 42155-0003
Auftragsbestand im Verarbeitenden Gewerbe (Wertindex):;;;;;;;;;;;;;;;;
Deutschland, Monate, Original- und bereinigte Daten,;;;;;;;;;;;;;;;;
Absatzrichtung, Wirtschaftszweige (2-4-Steller Hierarchie);;;;;;;;;;;;;;;;
Indizes des Auftragsbestandes im Verarb. Gewerbe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Auftragsbestand: Wertindex (2021=100);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Original- und bereinigte Daten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Originalwerte;;;;;;X13 JDemetra+  kalenderbereinigt;;;;;;X13 JDemetra+  kalender- und saisonbereinigt;;;;;;BV4.1 kalender- und saisonbereinigt;;;;;;BV4.1 Trend;;;;;
;;Absatzrichtung;;;;;;Absatzrichtung;;;;;;Absatzrichtung;;;;;;Absatzrichtung;;;;;;Absatzrichtung;;;;;
;;Insgesamt;;Inland;;Ausland;;Insgesamt;;Inland;;Ausland;;Insgesamt;;Inland;;Ausland;;Insgesamt;;Inland;;Ausland;;Insgesamt;;Inland;;Ausland;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;73,4;e;64,8;e;77,2;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
August;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;76,1;e;65,3;e;80,6;e;-;;-;;-;;75,8;e;65,4;e;80,2;e;-;;-;;-;;-;;-;;-;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;75,6;e;65,0;e;80,2;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
September;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;75,7;e;64,4;e;80,3;e;-;;-;;-;;76,9;e;66,4;e;81,1;e;-;;-;;-;;-;;-;;-;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;75,8;e;64,3;e;80,9;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
Oktober;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;76,6;e;65,5;e;81,1;e;-;;-;;-;;78,3;e;66,9;e;82,9;e;-;;-;;-;;-;;-;;-;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;76,7;e;64,5;e;82,0;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
November;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;77,0;e;67,1;e;81,0;e;-;;-;;-;;79,2;e;67,9;e;83,8;e;-;;-;;-;;-;;-;;-;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;76,7;e;66,5;e;81,2;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
Dezember;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;79,4;e;67,7;e;84,2;e;-;;-;;-;;81,9;e;70,3;e;86,6;e;-;;-;;-;;-;;-;;-;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;79,4;e;67,5;e;84,6;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Januar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;86,9;e;87,4;e;86,6;e;-;;-;;-;;87,0;p;87,3;p;86,9;p;-;;-;;-;;-;;-;;-;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;87,1;e;87,6;e;86,8;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
Februar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;89,3;e;90,8;e;88,6;e;-;;-;;-;;87,9;p;89,3;p;87,3;p;-;;-;;-;;-;;-;;-;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;89,8;e;90,4;e;89,5;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
März;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;92,8;e;90,7;e;93,8;e;-;;-;;-;;89,5;p;88,3;p;90,0;p;-;;-;;-;;-;;-;;-;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;92,9;e;90,1;e;94,4;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
April;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;92,1;e;92,1;e;92,2;e;-;;-;;-;;90,0;p;89,9;p;90,0;p;-;;-;;-;;-;;-;;-;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;92,1;e;91,1;e;92,6;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
Mai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;107,2;e;129,1;e;96,7;e;-;;-;;-;;104,6;p;125,3;p;94,7;p;-;;-;;-;;-;;-;;-;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;108,7;e;130,7;e;97,3;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
Juni;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;109,9;e;109,7;e;109,9;e;-;;-;;-;;108,5;p;108,2;p;108,6;p;-;;-;;-;;-;;-;;-;
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;110,5;e;110,4;e;110,5;e;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;
Juli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;111,5;e;114,5;e;110,0;e;-;;-;;-;;111,2;p;113,2;p;110,3;p;-;;-;;-;;-;;-;;-;
